First Name,Last Name,Date of Birth,Email Address,Mobile Number,Annual Income,Total Spendings,Visit Frequency,Churn
Sophia,Lee,15-09-1992,sophia.lee@gmail.com,8654123078,14102,320,6,FALSE
William,Perez,18-07-1991,william.perez@gmail.com,7890123456,21807,320,4,FALSE
Isabella,Taylor,29-10-1999,isabella.taylor@gmail.com,9876543210,16114,150,8,FALSE
James,Anderson,13-01-1994,james.anderson@gmail.com,8965412370,15614,120,7,TRUE
Mia,Thomas,21-03-1995,mia.thomas@gmail.com,7654321098,19299,200,9,TRUE
Benjamin,Jackson,07-05-1993,benjamin.jackson@gmail.com,7896541230,15222,180,2,TRUE
Charlotte,White,11-09-1997,charlotte.white@gmail.com,8965412307,15506,330,1,FALSE
Lucas,Harris,09-08-1991,lucas.harris@gmail.com,8901234567,18987,170,5,FALSE
Amelia,Martin,23-12-1996,amelia.martin@gmail.com,7890123456,14331,250,3,TRUE
Henry,Thompson,06-04-1992,henry.thompson@gmail.com,9870123456,21569,190,9,TRUE
Harper,Moore,12-11-1994,harper.moore@gmail.com,8654123078,14794,320,8,TRUE
Ethan,Allen,08-02-1995,ethan.allen@gmail.com,8965412309,22231,220,2,TRUE
Abigail,Wright,04-07-1998,abigail.wright@gmail.com,7123456780,19879,200,1,FALSE
Michael,Scott,22-09-1993,michael.scott@gmail.com,8965412370,16734,260,4,FALSE
Elizabeth,Green,29-06-1991,gretagood@gmail.com,7654123087,14996,170,7,TRUE
Ava,Davis,09-10-1995,ava.davis@yahoo.com,8765412309,13853,170,3,TRUE
Jack,Cooper,22-03-1993,jack.cooper@gmail.com,9870123456,16743,310,6,FALSE
Charlotte,Carter,01-05-1986,charlotte.carter@hotmail.com,7896541230,12622,280,5,TRUE
Ethan,Morris,12-09-1992,ethan.morris@yahoo.com,9865412370,13279,290,8,FALSE
Madison,Foster,24-02-1990,madison.foster@gmail.com,8765412093,20572,240,4,TRUE
Olivia,Torres,19-06-1994,olivia.torres@hotmail.com,7890123456,19139,220,3,TRUE
William,Gomez,07-11-1985,william.gomez@yahoo.com,8765412309,13387,170,9,TRUE
Mia,Perry,27-08-1991,mia.perry@gmail.com,9123456780,13206,340,1,TRUE
Benjamin,Powell,05-01-1996,benjamin.powell@hotmail.com,7865412309,19733,250,7,FALSE
Elizabeth,Long,17-12-1987,elizabeth.long@gmail.com,9876543210,20296,340,2,TRUE
Noah,Bryant,11-07-1989,noah.bryant@yahoo.com,8965412370,12226,210,6,FALSE
Amelia,Campbell,18-09-1993,amelia.campbell@hotmail.com,7865412390,12073,210,5,TRUE
James,Mitchell,23-04-1984,james.mitchell@gmail.com,9123456780,20011,200,7,TRUE
Sophia,Rodriguez,31-08-1997,sophia.rodriguez@yahoo.com,8654123078,18829,200,3,TRUE
Alexander,Rivera,28-11-1991,alexander.rivera@hotmail.com,7890123456,19334,170,8,FALSE
Chloe,Bailey,30-04-1995,chloe.bailey@gmail.com,9876543210,23405,280,1,TRUE
Daniel,Murphy,09-02-1986,daniel.murphy@yahoo.com,8965412370,20295,170,2,TRUE
Emily,Ramirez,21-10-1994,emily.ramirez@hotmail.com,7654321098,18133,270,6,FALSE
Michael,Evans,14-05-1993,michael.evans@gmail.com,7896541230,15732,150,4,TRUE
Isabella,Kim,25-07-1990,isabella.kim@yahoo.com,8965412307,18491,240,9,FALSE
Jackson,Bell,26-09-1987,jackson.bell@gmail.com,8901234567,23575,200,7,TRUE
Aadarsh,Bhatt,20-11-2005,aadarsh.bhatt09@gmail.com,7890123456,13627,260,2,TRUE
Aadhira,Nair,07-08-1999,aadhira.nair18@yahoo.com,9870123456,15133,220,1,TRUE
Aadi,Sharma,01-03-2012,aadi.sharma87@hotmail.com,8654123078,16312,290,6,TRUE
Aakash,Singh,26-06-1988,aakash.singh23@gmail.com,8965412309,15390,170,3,FALSE
Aarav,Patel,12-10-2008,aarav.patel15@yahoo.com,7123456780,13702,260,9,TRUE
Aarya,Menon,09-04-1976,aarya.menon02@hotmail.com,8965412370,13135,240,4,TRUE
Aashish,Joshi,28-11-2017,aashish.joshi31@gmail.com,7654123087,19143,290,8,TRUE
Abhinav,Gupta,14-12-2002,abhinav.gupta77@yahoo.com,8765412309,20280,200,5,FALSE
Aditya,Shah,17-05-1990,aditya.shah03@hotmail.com,9870123456,13777,330,8,TRUE
Advait,Desai,30-09-1986,advait.desai25@gmail.com,7000010001,18725,170,7,FALSE
Agastya,Iyer,21-06-2009,agastya.iyer42@yahoo.com,7000010002,13353,320,1,TRUE
Aishwarya,Srinivasan,03-01-1979,aishwarya.srinivasan11@hotmail.com,7000010003,13945,290,2,TRUE
Akshar,Murthy,16-11-1983,akshar.murthy17@gmail.com,7000010004,13997,270,6,FALSE
Akshara,Naidu,07-03-1994,akshara.naidu24@yahoo.com,7000010005,20255,260,5,TRUE
Akshay,Rao,24-08-2014,akshay.rao09@hotmail.com,7000010006,13678,210,3,FALSE
Alka,Singhania,05-12-1980,alka.singhania05@gmail.com,7000010007,17116,200,9,TRUE
Alok,Verma,13-07-2011,alok.verma12@yahoo.com,7000010008,13304,200,4,TRUE
Amartya,Chakraborty,19-02-2004,amartya.chakraborty22@hotmail.com,7000010009,21908,170,1,TRUE
Amar,Kaur,11-05-1997,amar.kaur19@gmail.com,7000010010,23568,170,7,TRUE
Ameya,Iyengar,31-08-1974,ameya.iyengar07@yahoo.com,7000010011,16843,270,9,FALSE
Amit,Mishra,26-11-2001,amit.mishra30@hotmail.com,7000010012,15758,230,6,TRUE
Amol,Patil,08-05-1990,amol.patil14@gmail.com,7000010013,23031,210,5,TRUE
Anand,Reddy,22-10-1998,anand.reddy21@yahoo.com,7000010014,14227,310,8,TRUE
Ananya,Rao,10-04-2012,ananya.rao13@hotmail.com,7000010015,23433,200,2,FALSE
Aniket,Deshmukh,14-06-1982,aniket.deshmukh35@gmail.com,7000010016,20957,320,3,TRUE
Anil,Thakur,26-09-1983,anil.thakur05@yahoo.com,7000010017,12928,220,4,FALSE
Aniruddh,Menon,03-06-2000,aniruddh.menon19@hotmail.com,7000010018,16618,220,1,TRUE
Ankita,Iyer,13-09-2011,ankita.iyer08@gmail.com,7000010019,23003,220,5,TRUE
Anmol,Singh,08-01-1976,anmol.singh27@yahoo.com,7000010020,15311,230,2,FALSE
Ansh,Sharma,04-05-1984,ansh.sharma01@hotmail.com,7000010021,21838,190,9,TRUE
Anshika,Gupta,12-03-2007,anshika.gupta36@gmail.com,7000010022,20427,280,8,FALSE
Anuj,Patel,24-08-2002,anuj.patel18@yahoo.com,7000010023,15005,300,7,TRUE
Anupam,Chakraborty,17-11-1977,anupam.chakraborty16@hotmail.com,7000010024,17911,240,6,TRUE
Anushka,Nair,18-04-1981,anushka.nair20@gmail.com,7000010025,13051,270,3,TRUE
Aparna,Kaur,23-03-1996,aparna.kaur07@yahoo.com,7000010026,21897,330,5,TRUE
Aradhana,Desai,15-05-2007,aradhana.desai24@hotmail.com,7000010027,22584,210,9,FALSE
Aravind,Murthy,05-11-2001,aravind.murthy05@gmail.com,7000010028,23012,210,6,TRUE
Archana,Naidu,29-05-2002,archana.naidu14@yahoo.com,7000010029,21705,340,1,TRUE
Arham,Joshi,16-10-2005,arham.joshi30@hotmail.com,7000010030,20752,260,8,TRUE
Aria,Menon,24-08-1999,aria.menon10@gmail.com,7000010031,23801,300,7,FALSE
Arijit,Rao,20-06-2008,arijit.rao07@yahoo.com,7000010032,23004,170,3,TRUE
Arjun,Singhania,27-09-1992,arjun.singhania29@hotmail.com,7000010033,15676,320,4,FALSE
Arnav,Verma,03-07-2001,arnav.verma11@gmail.com,7000010034,19480,270,2,TRUE
Addison,Barton,02-01-1989,addison.barton76@gmail.com,7000010035,15970,260,1,TRUE
Adelina,Roberts,28-04-1975,adelina.roberts51@hotmail.com,7000010036,11963,340,3,FALSE
Aditya,Black,16-05-1989,aditya.black63@yahoo.com,7000010037,20054,170,5,TRUE
Ahmad,Parsons,10-06-1990,ahmad.parsons89@hotmail.com,7000010038,23366,340,8,FALSE
Aiden,Holt,03-09-1982,aiden.holt42@gmail.com,7000010039,22052,300,2,TRUE
Aila,Ayala,11-01-1991,aila.ayala16@yahoo.com,7000010040,23573,320,6,TRUE
Ailish,Saunders,24-05-2002,ailish.saunders28@hotmail.com,7000010041,16859,160,9,TRUE
Aisha,Mullins,14-12-1978,aisha.mullins37@gmail.com,7000010042,15534,160,7,TRUE
Aisling,Rios,06-03-1988,aisling.rios49@hotmail.com,7000010043,22312,160,4,FALSE
Aiyana,Hutchinson,03-08-1981,aiyana.hutchinson24@yahoo.com,7000010044,15522,220,9,TRUE
Akira,Chung,11-09-1987,akira.chung95@gmail.com,7000010045,22101,150,5,TRUE
Alaina,Patel,21-04-1983,alaina.patel83@hotmail.com,7000010046,22706,170,8,TRUE
Alannah,Crawford,30-06-1984,alannah.crawford68@yahoo.com,7000010047,13996,300,4,FALSE
Alaya,Medina,23-09-2013,alaya.medina41@hotmail.com,7000010048,12403,150,2,TRUE
Aleah,Hubbard,03-05-1982,aleah.hubbard45@gmail.com,7000010049,17723,190,1,FALSE
Alessandra,Wolfe,10-11-1987,alessandra.wolfe90@hotmail.com,7000010050,21479,230,6,TRUE
Alex,Fletcher,06-01-1994,alex.fletcher98@yahoo.com,7000010051,18421,310,7,TRUE
Alexa,Mejia,01-09-2008,alexa.mejia10@gmail.com,7000010052,13889,240,3,FALSE
Alexandra,Norton,16-10-2004,alexandra.norton35@hotmail.com,7000010053,23477,220,4,TRUE
Alexandria,Woodward,11-05-1985,alexandria.woodward60@yahoo.com,7000010054,17943,220,6,FALSE
Alexandro,Gibbs,05-06-1978,alexandro.gibbs79@hotmail.com,7000010055,19283,290,7,TRUE
Alexia,Kramer,22-05-1989,alexia.kramer17@gmail.com,7000010056,15747,310,3,TRUE
Alexis,Austin,15-04-1984,alexis.austin14@yahoo.com,7000010057,20705,160,5,TRUE
Alfonso,Mcfarland,03-05-1996,alfonso.mcfarland92@hotmail.com,7000010058,17462,160,1,TRUE
Alfred,Roach,11-12-1995,alfred.roach81@gmail.com,7000010059,20432,340,9,FALSE
Alfredo,Solis,17-07-2009,alfredo.solis85@hotmail.com,7000010060,16471,160,2,TRUE
Ali,Levy,30-08-2008,ali.levy89@yahoo.com,7000010061,15067,270,8,TRUE
Alice,Harding,26-01-1989,alice.harding80@hotmail.com,7000010062,13705,150,6,TRUE
Alicia,Hogan,04-11-2012,alicia.hogan39@gmail.com,7000010063,23372,160,1,FALSE
Alina,Solis,11-11-1991,alina.solis71@yahoo.com,7000010064,12476,230,5,TRUE
Alisha,Carpenter,08-05-1999,alisha.carpenter12@hotmail.com,7000010065,21959,190,4,FALSE
Alison,Maldonado,20-11-2005,alison.maldonado70@gmail.com,7000010066,16857,310,7,TRUE
Alissa,Lin,07-08-1999,alissa.lin91@yahoo.com,7000010067,13251,280,3,TRUE
Alistair,Gallagher,01-03-2012,alistair.gallagher76@hotmail.com,7000010068,23206,230,9,FALSE
Aliya,Hampton,26-06-1988,aliya.hampton76@gmail.com,7000010069,15120,320,2,TRUE
Allan,Fuller,12-10-2008,allan.fuller85@hotmail.com,7000030494,15773,270,8,FALSE
Allen,Payne,09-04-1976,allen.payne42@yahoo.com,7000034098,17231,300,5,TRUE
Allie,Rivers,28-11-2017,allie.rivers18@hotmail.com,7000037387,23400,240,6,TRUE
Allison,Pope,14-12-2002,allison.pope47@gmail.com,7000038099,12892,240,9,TRUE
Ally,Riddle,17-05-1990,ally.riddle57@yahoo.com,7000039751,18661,190,2,TRUE
Alma,Hays,30-09-1986,alma.hays34@hotmail.com,7000040016,12247,330,7,FALSE
Alonso,Mccormick,21-06-2009,alonso.mccormick71@gmail.com,7000041159,17959,310,1,TRUE
Alonzo,Levine,03-01-1979,alonzo.levine64@hotmail.com,7000044716,20112,220,4,TRUE
Aloysius,Hoover,16-11-1983,aloysius.hoover83@yahoo.com,7000045154,23356,230,8,TRUE
Alvin,Perkins,07-03-1994,alvin.perkins65@hotmail.com,7000046136,17852,280,3,FALSE
Alycia,Rojas,24-08-2014,alycia.rojas89@gmail.com,7000047514,19705,260,4,TRUE
Alyson,Bowers,05-12-1980,alyson.bowers53@yahoo.com,7000047795,19068,320,7,FALSE
Alyssa,Burt,13-07-2011,alyssa.burt48@hotmail.com,7000048255,20607,240,8,TRUE
Amalia,Keith,19-02-2004,amalia.keith67@gmail.com,7000050775,21358,280,1,TRUE
Nathan,Richards,11-05-1997,nathan.richards48@gmail.com,7000052365,20519,290,6,FALSE
Kaitlyn,Watts,31-08-1974,kaitlyn.watts72@hotmail.com,7000052851,22760,310,2,TRUE
Jackson,Oliver,26-11-2001,jackson.oliver25@yahoo.com,7000053045,18223,230,9,FALSE
Ariana,Martin,08-05-1990,ariana.martin56@hotmail.com,7000053755,21980,260,5,TRUE
Devin,Hernandez,22-10-1998,devin.hernandez91@gmail.com,7000054705,16403,320,3,TRUE
Kelsey,Rodriguez,10-04-2012,kelsey.rodriguez12@hotmail.com,7000055485,21318,240,9,TRUE
Nicholas,Rivera,14-06-1982,nicholas.rivera29@yahoo.com,7000056111,14821,330,8,TRUE
Victoria,Ramirez,26-09-1983,victoria.ramirez78@gmail.com,7000056659,16532,240,7,FALSE
Wyatt,Peterson,03-06-2000,wyatt.peterson65@hotmail.com,7000057142,21154,190,2,TRUE
Caroline,Bailey,13-09-2011,caroline.bailey49@yahoo.com,7000057836,22281,220,4,TRUE
Owen,Nguyen,08-01-1976,owen.nguyen63@hotmail.com,7000058189,14217,220,6,TRUE
Vanessa,Kelly,04-05-1984,vanessa.kelly84@gmail.com,7000058216,22276,280,5,FALSE
Parker,Barnes,12-03-2007,parker.barnes95@hotmail.com,7000058634,20299,220,1,TRUE
Allison,Fisher,24-08-2002,allison.fisher16@yahoo.com,7000058826,23698,330,2,FALSE
Gavin,Young,17-11-1977,gavin.young31@gmail.com,7000059104,16602,240,1,TRUE
Julia,Scott,18-04-1981,julia.scott74@hotmail.com,7000059208,15918,190,7,TRUE
Isaac,Hall,23-03-1996,isaac.hall83@yahoo.com,7000059484,15246,150,4,FALSE
Abigail,Nelson,15-05-2007,abigail.nelson27@gmail.com,7000059554,12436,150,3,TRUE
Ryan,Cooper,05-11-2001,ryan.cooper99@hotmail.com,7000059867,20227,260,9,FALSE
Leah,Hernandez,29-05-2002,leah.hernandez72@yahoo.com,7000060002,23198,280,5,TRUE
Ethan,Flores,16-10-2005,ethan.flores11@gmail.com,7000060906,17031,310,6,TRUE
Elizabeth,Ross,24-08-1999,elizabeth.ross88@hotmail.com,7000061359,13992,240,8,TRUE
Jacob,Barnes,20-06-2008,jacob.barnes52@yahoo.com,7000062486,16664,230,8,TRUE
Lila,Davis,27-09-1992,lila.davis83@gmail.com,7000062772,19044,280,4,FALSE
Caleb,Bennett,03-07-2001,caleb.bennett46@hotmail.com,7000063016,18336,320,3,TRUE
Ava,James,02-01-1989,ava.james67@yahoo.com,7000063654,16861,290,9,TRUE
Joshua,Flores,28-04-1975,joshua.flores60@gmail.com,7000063691,15997,310,7,TRUE
Sydney,Watson,16-05-1989,sydney.watson75@hotmail.com,7000064263,11994,200,1,FALSE
Isaac,Kelly,10-06-1990,isaac.kelly99@yahoo.com,7000064602,18691,200,2,TRUE
Sophia,Coleman,03-09-1982,sophia.coleman37@gmail.com,7000064898,17707,340,5,FALSE
Matthew,Edwards,11-01-1991,matthew.edwards50@hotmail.com,7000064986,14195,290,6,TRUE
Amelia,Watson,24-05-2002,amelia.watson73@yahoo.com,7000065539,15599,170,7,TRUE
Mason,Cooper,14-12-1978,mason.cooper14@gmail.com,7000065616,15576,170,3,FALSE
Victoria,Lee,06-03-1988,victoria.lee27@hotmail.com,7000065844,12796,150,8,TRUE
Noah,Edwards,03-08-1981,noah.edwards71@yahoo.com,7000065936,15797,150,9,FALSE
Madison,Bailey,11-09-1987,madison.bailey48@gmail.com,7000066182,20734,230,2,TRUE
Logan,Hall,21-04-1983,logan.hall59@hotmail.com,7000066476,16070,210,6,TRUE
Charlotte,Parker,30-06-1984,charlotte.parker17@yahoo.com,7000066534,14403,310,5,TRUE
Samuel,Lewis,23-09-2013,samuel.lewis68@gmail.com,7000066874,14666,170,1,TRUE
Grace,Rogers,03-05-1982,grace.rogers49@hotmail.com,7000066931,12107,170,4,FALSE
Caleb,Ward,10-11-1987,caleb.ward72@yahoo.com,7000067323,20790,280,8,TRUE
Harper,Ross,06-01-1994,harper.ross39@gmail.com,7000067601,18720,150,7,TRUE
Michael,Ramirez,01-09-2008,michael.ramirez75@hotmail.com,7000067766,23497,150,5,TRUE
Ella,Peterson,16-10-2004,ella.peterson38@yahoo.com,7000067912,17329,230,4,FALSE
Tyler,Price,11-05-1985,tyler.price27@gmail.com,7000067949,22435,280,6,TRUE
Samantha,Campbell,05-06-1978,samantha.campbell18@hotmail.com,7000068421,20127,340,2,FALSE
Jackson,Hill,22-05-1989,jackson.hill59@yahoo.com,7000068732,15689,210,1,TRUE
Lauren,Ward,15-04-1984,lauren.ward68@gmail.com,7000068779,22390,320,9,TRUE
William,Butler,03-05-1996,william.butler73@hotmail.com,7000069025,20431,240,8,FALSE
Natalie,Wright,11-12-1995,natalie.wright56@yahoo.com,7000069553,14862,170,3,TRUE
Isaac,King,17-07-2009,isaac.king78@gmail.com,7000069765,13177,310,2,FALSE
Isabella,Carter,30-08-2008,isabella.carter84@hotmail.com,7000069792,12124,290,4,TRUE
Land,Cook,26-01-1989,landon.cook22@yahoo.com,7000070475,23111,170,9,TRUE
Chl,Baker,04-11-2012,chloe.baker49@gmail.com,7000070621,19839,230,7,TRUE
Sophie,Price,11-11-1991,sophie.price39@yahoo.com,7000070744,20485,210,1,TRUE
Clara,Rodrigu,08-05-1999,clara.rodriguez12@hotmail.com,7000070918,21820,200,5,FALSE
Silas,Colli,20-11-2005,silas.collins84@gmail.com,7000071196,22430,280,6,TRUE
Lydia,Cr,07-08-1999,lydia.cruz72@hotmail.com,7000071782,16695,230,8,TRUE
Charli,Stewart,01-03-2012,charlie.stewart17@yahoo.com,700007202,15367,220,3,TRUE
Sophie,Price,26-06-1988,oliver.phillips68@gmail.com,8100010050,18316,330,5,FALSE
Clara,Rodriguez,12-10-2008,clara.rodriguez12@hotmail.com,8100010051,20451,170,6,TRUE
Silas,Collins,09-04-1976,silas.collins84@gmail.com,8100010052,12673,320,7,FALSE
Lydia,Cruz,28-11-2017,lydia.cruz72@hotmail.com,8100010053,22401,290,2,TRUE
Charlie,Stewart,14-12-2002,charlie.stewart17@yahoo.com,8100010054,15225,200,4,TRUE
Oliver,Phillips,17-05-1990,oliver.phillips68@gmail.com,8100010055,12624,210,8,FALSE
Hazel,King,30-09-1986,hazel.king95@hotmail.com,8100010056,12402,170,9,TRUE
Evelyn,Green,21-06-2009,evelyn.green28@yahoo.com,8100010057,11976,260,1,FALSE
Nora,Carter,03-01-1979,nora.carter46@hotmail.com,8100010058,22186,170,3,TRUE
Theodore,Hayes,16-11-1983,theodore.hayes59@gmail.com,8100010059,19121,340,9,TRUE
Alice,Russell,07-03-1994,alice.russell16@yahoo.com,8100010060,21756,240,5,TRUE
Levi,Flores,24-08-2014,levi.flores13@hotmail.com,8100010061,21157,320,6,TRUE
Audrey,Johnston,05-12-1980,audrey.johnston98@gmail.com,8100010062,15551,240,1,FALSE
Finn,Gomez,13-07-2011,finn.gomez87@yahoo.com,8100010063,15536,310,8,TRUE
Miles,Cox,19-02-2004,miles.cox24@hotmail.com,8100010064,14716,210,4,TRUE
Isla,Murphy,11-05-1997,isla.murphy19@gmail.com,8100010065,23398,330,7,TRUE
Harper,Collins,31-08-1974,harper.collins45@yahoo.com,8100010066,15550,320,2,FALSE
Liam,Bell,26-11-2001,liam.bell65@hotmail.com,8100010067,14931,240,7,TRUE
Penelope,Powell,08-05-1990,penelope.powell31@gmail.com,8100010068,13952,170,4,FALSE
Ethan,Rivera,22-10-1998,ethan.rivera52@yahoo.com,8100010069,13914,320,2,TRUE
Hazel,Bailey,10-04-2012,hazel.bailey79@hotmail.com,8100030494,22834,170,6,TRUE
Elijah,Hayes,14-06-1982,elijah.hayes61@gmail.com,8100034098,22698,280,8,FALSE
Scarlett,Ross,26-09-1983,scarlett.ross27@yahoo.com,8100037387,20120,260,3,TRUE
Charlotte,Cooper,03-06-2000,charlotte.cooper63@hotmail.com,8100038099,16467,210,9,FALSE
James,Ramirez,13-09-2011,james.ramirez94@gmail.com,8100039751,18250,240,1,TRUE
Aria,Herrera,08-01-1976,aria.herrera73@yahoo.com,8100040016,19783,280,5,TRUE
Benjamin,Alvarez,04-05-1984,benjamin.alvarez50@hotmail.com,8100041159,19867,170,3,TRUE
Amelia,Flores,12-03-2007,amelia.flores48@gmail.com,8100044716,19566,170,4,TRUE
Emma,Coleman,24-08-2002,emma.coleman80@yahoo.com,8100045154,22287,220,9,FALSE
William,Sanders,17-11-1977,william.sanders17@hotmail.com,8100046136,22124,220,8,TRUE
Jackson,Phillips,18-04-1981,jackson.phillips78@gmail.com,8100047514,16054,320,7,TRUE
Olivia,Pearson,23-03-1996,olivia.pearson38@yahoo.com,8100047795,22403,310,6,TRUE
Ethan,King,15-05-2007,ethan.king19@hotmail.com,8100048255,20633,210,1,FALSE
Grace,Spencer,05-11-2001,grace.spencer81@gmail.com,8100050775,21219,240,5,TRUE
Liam,Ryan,29-05-2002,liam.ryan53@yahoo.com,8100052365,22290,310,2,FALSE
Scarlett,Brooks,16-10-2005,scarlett.brooks12@hotmail.com,8100052851,17720,170,6,TRUE
Evelyn,Flores,24-08-1999,evelyn.flores49@gmail.com,8100053045,17683,170,4,TRUE
Lucas,Edwards,20-06-2008,lucas.edwards73@yahoo.com,8100053755,16806,220,8,FALSE
Madison,Bell,27-09-1992,madison.bell21@hotmail.com,8100054815,19684,150,7,TRUE
Henry,Torres,03-07-2001,henry.torres25@gmail.com,8100055485,19017,150,9,FALSE
Violet,Bailey,02-01-1989,violet.bailey60@yahoo.com,8100056111,17687,150,2,TRUE
Wyatt,Flores,28-04-1975,wyatt.flores84@hotmail.com,8100056659,21903,260,1,TRUE
Mia,Robertson,16-05-1989,mia.robertson67@gmail.com,8100057142,14662,340,5,TRUE
Noah,Powell,10-06-1990,noah.powell76@yahoo.com,8100057836,33388,230,3,TRUE
Grace,Ward,03-09-1982,grace.ward62@hotmail.com,8100058189,15550,170,9,FALSE
Owen,Henderson,11-01-1991,owen.henderson71@gmail.com,8100058216,14831,170,8,TRUE
Harper,Murphy,24-05-2002,harper.murphy70@yahoo.com,8100058634,13853,170,2,TRUE
Lucas,Carter,14-12-1978,lucas.carter29@hotmail.com,8100058826,13814,310,1,TRUE
Emma,Torres,06-03-1988,emma.torres72@gmail.com,8100059104,33834,150,4,FALSE
Samuel,White,03-08-1981,samuel.white48@yahoo.com,8100059208,33688,320,7,TRUE
Elizabeth,Wood,11-09-1987,elizabeth.wood63@hotmail.com,8100059484,30130,220,3,FALSE
Owen,Gomez,21-04-1983,owen.gomez85@gmail.com,8100059554,16465,230,6,TRUE
Amelia,Wilson,30-06-1984,amelia.wilson61@yahoo.com,8100059867,18350,310,5,TRUE
Caleb,Tucker,23-09-2013,caleb.tucker15@hotmail.com,8100060002,18583,220,8,FALSE
Maxine,Jackson,03-05-1982,maxine.jackson21@gmail.com,8100060906,18865,170,4,TRUE
Emmett,Morris,10-11-1987,emmett.morris63@hotmail.com,8100061359,18566,170,3,FALSE
Jazmin,Foster,06-01-1994,jazmin.foster48@yahoo.com,8100062486,33385,320,9,TRUE
Ayden,Castillo,01-09-2008,ayden.castillo12@gmail.com,8100062772,33134,230,1,TRUE
Ryleigh,Kelley,16-10-2004,ryleigh.kelley26@hotmail.com,8100063016,16054,210,7,TRUE
Andy,Sandoval,11-05-1985,andy.sandoval50@yahoo.com,8100063654,33403,320,2,TRUE
Mckenzie,West,05-06-1978,mckenzie.west17@gmail.com,8100063691,30633,340,6,FALSE
Ahmed,Klein,22-05-1989,ahmed.klein81@hotmail.com,8100064263,31318,280,5,TRUE
Bridget,Perry,15-04-1984,bridget.perry94@yahoo.com,8100064602,33380,170,7,TRUE
Kieran,Scott,03-05-1996,kieran.scott95@gmail.com,8100064898,15530,240,3,TRUE
Noelle,Greene,11-12-1995,noelle.greene61@hotmail.com,8100064986,15683,310,8,FALSE
Jalen,Riley,17-07-2009,jalen.riley84@yahoo.com,8100065539,16806,170,1,TRUE
Christine,Ramirez,30-08-2008,christine.ramirez69@gmail.com,8100065616,18684,170,2,FALSE
Lina,Martin,26-01-1989,lina.martin39@hotmail.com,8100065844,18015,340,6,TRUE
Roger,Bennett,04-11-2012,roger.bennett97@yahoo.com,8100065936,15685,290,4,TRUE
Greta,Hayes,11-11-1991,greta.hayes45@gmail.com,8100066182,31803,340,9,FALSE
Casey,Kelley,08-05-1999,casey.kelley75@hotmail.com,8100066476,14663,240,7,TRUE
Alijah,Cunningham,09-05-2020,alijah.cunningham27@yahoo.com,8100066534,33388,230,2,FALSE
Zion,Boyd,01-01-2021,zion.boyd92@gmail.com,8100066874,15550,170,1,TRUE
